"Accession" "Species" "Latitude" "Longitude" "groups"
"BLCG-28-1" "Populus trichocarpa" 49.833333 -125.183333 "South CA trichocarpa"
"BULG-11-4" "Populus trichocarpa" 54.45 -126.8 "Central CA trichocarpa"
"CEDA-10-4" "Populus trichocarpa" 54.95 -128.916667 "Central CA trichocarpa"
"CHKD-19-3" "Populus trichocarpa" 51.766667 -127.2 "South CA trichocarpa"
"CHWH-27-5" "Populus trichocarpa" 49.1 -121.516667 "South CA trichocarpa"
"CNYH-28-5" "Populus trichocarpa" 49.666667 -125.066667 "South CA trichocarpa"
"DENA-17-4" "Populus trichocarpa" 52.766667 -126.616667 "South CA trichocarpa"
"DENC-17-4" "Populus trichocarpa" 52.833333 -126.8 "South CA trichocarpa"
"ELAD-25-3" "Populus trichocarpa" 50.25 -123.583333 "South CA trichocarpa"
"FNYI-28-5" "Populus trichocarpa" 49.516667 -124.85 "South CA trichocarpa"
"BELC-18-5" "Populus trichocarpa" 52.383333 -126.6 "South CA trichocarpa"
"BULG-11-2" "Populus trichocarpa" 54.45 -126.8 "Central CA trichocarpa"
"CEDA-10-2" "Populus trichocarpa" 54.95 -128.916667 "Central CA trichocarpa"
"CHKD-19-2" "Populus trichocarpa" 51.766667 -127.2 "South CA trichocarpa"
"CMBF-28-1" "Populus trichocarpa" 49.95 -125.25 "South CA trichocarpa"
"CNYH-28-4" "Populus trichocarpa" 49.666667 -125.066667 "South CA trichocarpa"
"DENC-17-3" "Populus trichocarpa" 52.833333 -126.8 "South CA trichocarpa"
"FNYI-28-4" "Populus trichocarpa" 49.516667 -124.85 "South CA trichocarpa"
"BELC-18-4" "Populus trichocarpa" 52.383333 -126.6 "South CA trichocarpa"
"BULF-11-5" "Populus trichocarpa" 54.55 -126.833333 "Central CA trichocarpa"
"CDRE-10-3" "Populus trichocarpa" 55.016667 -128.333333 "Central CA trichocarpa"
"CHKD-19-1" "Populus trichocarpa" 51.766667 -127.2 "South CA trichocarpa"
"CHWH-27-3" "Populus trichocarpa" 49.1 -121.516667 "South CA trichocarpa"
"CHWK-27-4" "Populus trichocarpa" 49.083333 -121.733333 "South CA trichocarpa"
"CNYH-28-3" "Populus trichocarpa" 49.666667 -125.066667 "South CA trichocarpa"
"DENA-17-2" "Populus trichocarpa" 52.766667 -126.616667 "South CA trichocarpa"
"DENC-17-2" "Populus trichocarpa" 52.833333 -126.8 "South CA trichocarpa"
"FNYI-28-3" "Populus trichocarpa" 49.516667 -124.85 "South CA trichocarpa"
"ALSC-1-5" "Populus trichocarpa" 59.616667 -137.916667 "Northern CA trichocarpa"
"BELC-18-3" "Populus trichocarpa" 52.383333 -126.6 "South CA trichocarpa"
"BULF-11-4" "Populus trichocarpa" 54.55 -126.833333 "Central CA trichocarpa"
"CDRE-10-1" "Populus trichocarpa" 55.016667 -128.333333 "Central CA trichocarpa"
"CHKC-19-4" "Populus trichocarpa" 51.733333 -127.316667 "South CA trichocarpa"
"CHWK-27-3" "Populus trichocarpa" 49.083333 -121.733333 "South CA trichocarpa"
"CNYH-28-2" "Populus trichocarpa" 49.666667 -125.066667 "South CA trichocarpa"
"DEND-17-5" "Populus trichocarpa" 52.816667 -126.95 "South CA trichocarpa"
"FNYI-28-2" "Populus trichocarpa" 49.516667 -124.85 "South CA trichocarpa"
"ALSC-1-4" "Populus trichocarpa" 59.616667 -137.916667 "Northern CA trichocarpa"
"BELC-18-2" "Populus trichocarpa" 52.383333 -126.6 "South CA trichocarpa"
"BULF-11-3" "Populus trichocarpa" 54.55 -126.833333 "Central CA trichocarpa"
"CHKC-19-3" "Populus trichocarpa" 51.733333 -127.316667 "South CA trichocarpa"
"CHWH-27-1" "Populus trichocarpa" 49.1 -121.516667 "South CA trichocarpa"
"CHWK-27-2" "Populus trichocarpa" 49.083333 -121.733333 "South CA trichocarpa"
"CNYH-28-1" "Populus trichocarpa" 49.666667 -125.066667 "South CA trichocarpa"
"DENB-17-4" "Populus trichocarpa" 52.833333 -126.7 "South CA trichocarpa"
"DEND-17-4" "Populus trichocarpa" 52.816667 -126.95 "South CA trichocarpa"
"FNYI-28-1" "Populus trichocarpa" 49.516667 -124.85 "South CA trichocarpa"
